time,sfe,ssip,rfip,type
"22/10/2024, 09:10:27",3,2,1.0,0
"22/10/2024, 09:10:30",10,5,1.0,0
"22/10/2024, 09:10:33",12,6,1.0,0
"22/10/2024, 09:10:36",18,7,1.0,0
"22/10/2024, 09:10:39",20,7,1.0,0
"22/10/2024, 09:10:42",24,9,1.0,0
"22/10/2024, 09:10:45",30,9,1.0,0
"22/10/2024, 09:10:48",38,10,1.0,0
"22/10/2024, 09:10:51",38,10,1.0,0
"22/10/2024, 09:10:54",48,10,1.0,0
"22/10/2024, 09:10:57",50,10,1.0,0
"22/10/2024, 09:17:00",52,10,1.0,0
"22/10/2024, 09:17:03",58,10,1.0,0
"22/10/2024, 09:17:06",58,10,1.0,0
"22/10/2024, 09:17:09",60,10,1.0,0
"22/10/2024, 09:17:12",66,10,1.0,0
"22/10/2024, 09:17:09",72,10,1.0,0
"22/10/2024, 09:17:18",72,10,1.0,0
"22/10/2024, 09:17:21",74,10,1.0,0
"22/10/2024, 09:17:24",78,10,1.0,0
"22/10/2024, 09:17:27",80,10,1.0,0
"22/10/2024, 09:17:30",80,10,1.0,0
"22/10/2024, 09:17:33",84,10,1.0,0
"22/10/2024, 09:17:36",84,10,1.0,0
"22/10/2024, 09:17:39",88,10,1.0,0
"22/10/2024, 09:17:42",88,10,1.0,0
"22/10/2024, 09:17:45",88,10,1.0,0
"22/10/2024, 09:17:48",88,10,1.0,0
"22/10/2024, 09:17:51",88,10,1.0,0
"22/10/2024, 09:17:54",88,10,1.0,0
"22/10/2024, 09:17:57",90,10,1.0,0
"22/10/2024, 09:18:00",90,10,1.0,0
"22/10/2024, 09:18:03",90,10,1.0,0
"22/10/2024, 09:18:06",90,10,1.0,0
"22/10/2024, 09:18:09",90,10,1.0,0
"22/10/2024, 09:18:12",90,10,1.0,0
"22/10/2024, 09:18:09",90,10,1.0,0
"22/10/2024, 09:18:18",90,10,1.0,0
"22/10/2024, 09:18:21",90,10,1.0,0
"22/10/2024, 09:18:24",90,10,1.0,0
"22/10/2024, 09:18:27",90,10,1.0,0
"22/10/2024, 09:18:30",90,10,1.0,0
"22/10/2024, 09:18:33",90,10,1.0,0
"22/10/2024, 09:18:36",90,10,1.0,0
"22/10/2024, 09:18:39",90,10,1.0,0
"22/10/2024, 09:18:42",90,10,1.0,0
"22/10/2024, 09:18:45",90,10,1.0,0
"22/10/2024, 09:18:48",90,10,1.0,0
"22/10/2024, 09:18:51",90,10,1.0,0
"22/10/2024, 09:18:54",90,10,1.0,0
"22/10/2024, 09:18:57",90,10,1.0,0
"22/10/2024, 09:19:00",90,10,1.0,0
"22/10/2024, 09:19:03",90,10,1.0,0
"22/10/2024, 09:19:06",90,10,1.0,0
"22/10/2024, 09:19:09",90,10,1.0,0
"22/10/2024, 09:19:12",90,10,1.0,0
"22/10/2024, 09:19:09",90,10,1.0,0
"22/10/2024, 09:19:18",90,10,1.0,0
"22/10/2024, 09:19:21",90,10,1.0,0
"22/10/2024, 09:19:24",90,10,1.0,0
"22/10/2024, 09:19:27",90,10,1.0,0
"22/10/2024, 09:19:30",90,10,1.0,0
"22/10/2024, 09:19:33",90,10,1.0,0
"22/10/2024, 09:19:36",90,10,1.0,0
"22/10/2024, 09:19:39",90,10,1.0,0
"22/10/2024, 09:19:42",90,10,1.0,0
"22/10/2024, 09:19:45",90,10,1.0,0
"22/10/2024, 09:19:48",0,0,1.0,0
"22/10/2024, 09:19:51",90,10,1.0,0
"22/10/2024, 09:19:54",90,10,1.0,0
"22/10/2024, 09:19:57",90,10,1.0,0
"22/10/2024, 09:20:00",90,10,1.0,0
"22/10/2024, 09:20:03",90,10,1.0,0
"22/10/2024, 09:20:06",90,10,1.0,0
"22/10/2024, 09:20:09",90,10,1.0,0
"22/10/2024, 09:20:12",90,10,1.0,0
"22/10/2024, 09:20:09",90,10,1.0,0
"22/10/2024, 09:20:18",90,10,1.0,0
"22/10/2024, 09:20:21",90,10,1.0,0
"22/10/2024, 09:20:24",90,10,1.0,0
