time,flowcount
"22/10/2024, 15:10:27",3
"22/10/2024, 15:10:30",10
"22/10/2024, 15:10:33",15
"22/10/2024, 15:10:36",19
"22/10/2024, 15:10:39",21
"22/10/2024, 15:10:42",25
"22/10/2024, 15:10:45",31
"22/10/2024, 15:10:48",39
"22/10/2024, 15:10:51",39
"22/10/2024, 15:10:54",49
"22/10/2024, 15:10:57",51
"22/10/2024, 15:17:00",53
"22/10/2024, 15:17:03",59
"22/10/2024, 15:17:06",59
"22/10/2024, 15:17:09",61
"22/10/2024, 15:17:12",67
"22/10/2024, 15:17:15",73
"22/10/2024, 15:17:18",73
"22/10/2024, 15:17:21",75
"22/10/2024, 15:17:24",79
"22/10/2024, 15:17:27",81
"22/10/2024, 15:17:30",81
"22/10/2024, 15:17:33",85
"22/10/2024, 15:17:36",85
"22/10/2024, 15:17:39",89
"22/10/2024, 15:17:42",89
"22/10/2024, 15:17:45",89
"22/10/2024, 15:17:48",89
"22/10/2024, 15:17:51",89
"22/10/2024, 15:17:54",89
"22/10/2024, 15:17:57",91
"22/10/2024, 15:18:00",91
"22/10/2024, 15:18:03",91
"22/10/2024, 15:18:06",91
"22/10/2024, 15:18:09",91
"22/10/2024, 15:18:12",91
"22/10/2024, 15:18:15",91
"22/10/2024, 15:18:18",91
"22/10/2024, 15:18:21",91
"22/10/2024, 15:18:24",91
"22/10/2024, 15:18:27",91
"22/10/2024, 15:18:30",91
"22/10/2024, 15:18:33",91
"22/10/2024, 15:18:36",91
"22/10/2024, 15:18:39",91
"22/10/2024, 15:18:42",91
"22/10/2024, 15:18:45",91
"22/10/2024, 15:18:48",91
"22/10/2024, 15:18:51",91
"22/10/2024, 15:18:54",91
"22/10/2024, 15:18:57",91
"22/10/2024, 15:19:00",91
"22/10/2024, 15:19:03",91
"22/10/2024, 15:19:06",91
"22/10/2024, 15:19:09",91
"22/10/2024, 15:19:12",91
"22/10/2024, 15:19:15",91
"22/10/2024, 15:19:18",91
"22/10/2024, 15:19:21",91
"22/10/2024, 15:19:24",91
"22/10/2024, 15:19:27",91
"22/10/2024, 15:19:30",91
"22/10/2024, 15:19:33",91
"22/10/2024, 15:19:36",91
"22/10/2024, 15:19:39",91
"22/10/2024, 15:19:42",91
"22/10/2024, 15:19:45",91
"22/10/2024, 15:19:48",91
"22/10/2024, 15:19:51",91
"22/10/2024, 15:19:54",91
"22/10/2024, 15:19:57",91
"22/10/2024, 15:20:00",91
"22/10/2024, 15:20:03",91
"22/10/2024, 15:20:06",91
"22/10/2024, 15:20:09",91
"22/10/2024, 15:20:12",91
"22/10/2024, 15:20:15",91
"22/10/2024, 15:20:18",91
"22/10/2024, 15:20:21",91
"22/10/2024, 15:20:24",91
"22/10/2024, 15:20:27",91
"22/10/2024, 15:20:30",91
"22/10/2024, 15:20:33",91
"22/10/2024, 15:20:36",91
"22/10/2024, 15:20:39",91
"22/10/2024, 15:20:42",91
"22/10/2024, 15:20:45",91
"22/10/2024, 15:20:48",91
"22/10/2024, 15:20:51",91
"22/10/2024, 15:20:54",91
"22/10/2024, 15:20:57",91
"22/10/2024, 15:21:00",91
"22/10/2024, 15:21:03",91
"22/10/2024, 15:21:06",91
"22/10/2024, 15:21:09",91
"22/10/2024, 15:21:12",91
"22/10/2024, 15:21:15",91
"22/10/2024, 15:21:18",91
"22/10/2024, 15:21:21",91
"22/10/2024, 15:21:24",91
"22/10/2024, 15:21:27",91
time,flowcount
"22/10/2024, 15:22:24",239
"22/10/2024, 15:22:27",537
"22/10/2024, 15:22:30",834
"22/10/2024, 15:22:33",1019
"22/10/2024, 15:22:36",1218
"22/10/2024, 15:22:39",1417
"22/10/2024, 15:22:42",1615
"22/10/2024, 15:22:45",1814
"22/10/2024, 15:22:48",2003
"22/10/2024, 15:22:51",2108
"22/10/2024, 15:22:54",2257
"22/10/2024, 15:22:57",2407
"22/10/2024, 15:23:00",2556
